Date,Price,Open,High,Low,Change %,USD_per_mt,USD_per_kg,VND_per_kg
2020-06-08,103.41,103.41,103.41,103.41,3.14,103.41,0.10341,2719.683
2020-06-09,102.98,102.98,102.98,102.98,-0.42,102.98,0.10298,2708.3740000000003
2020-06-10,102.89,102.89,102.89,102.89,-0.09,102.89,0.10289,2706.007
2020-06-11,102.75,102.75,102.75,102.75,-0.14,102.75,0.10275,2702.325
2020-06-12,103.59,103.59,103.59,103.59,0.82,103.59,0.10359,2724.417
2020-06-15,103.07,103.07,103.07,103.07,-0.5,103.07,0.10307,2710.741
2020-06-16,103.46,103.46,103.46,103.46,0.38,103.46,0.10346,2720.998
2020-06-17,103.18,103.18,103.18,103.18,-0.27,103.18,0.10318000000000001,2713.634
2020-06-18,103.05,103.05,103.05,103.05,-0.13,103.05,0.10305,2710.215
2020-06-19,103.04,103.04,103.04,103.04,-0.01,103.04,0.10304,2709.952
2020-06-22,102.93,102.93,102.93,102.93,-0.11,102.93,0.10293000000000001,2707.059
2020-06-23,102.85,102.85,102.85,102.85,-0.08,102.85,0.10285,2704.955
2020-06-24,103.12,103.12,103.12,103.12,0.26,103.12,0.10312,2712.056
2020-06-25,103.08,103.08,103.08,103.08,-0.04,103.08,0.10308,2711.004
2020-06-26,103.23,103.23,103.23,103.23,0.15,103.23,0.10323,2714.949
2020-06-29,103.06,103.06,103.06,103.06,-0.16,103.06,0.10306,2710.478
2020-06-30,102.95,102.95,102.95,102.95,-0.11,102.95,0.10295,2707.585
2020-07-01,98.01,98.01,98.01,98.01,-4.8,98.01,0.09801,2577.663
2020-07-02,98.94,98.94,98.94,98.94,0.95,98.94,0.09894,2602.122
2020-07-06,101.54,101.54,101.54,101.54,2.63,101.54,0.10154,2670.502
2020-07-07,103.04,103.04,103.04,103.04,1.48,103.04,0.10304,2709.952
2020-07-08,105.03,105.03,105.03,105.03,1.93,105.03,0.10503,2762.2889999999998
2020-07-09,104.61,104.61,104.61,104.61,-0.4,104.61,0.10461,2751.243
2020-07-10,105.59,105.59,105.59,105.59,0.94,105.59,0.10559,2777.0170000000003
2020-07-13,106.93,106.93,106.93,106.93,1.27,106.93,0.10693000000000001,2812.2590000000005
2020-07-14,107.45,107.45,107.45,107.45,0.49,107.45,0.10745,2825.935
2020-07-15,107.57,107.57,107.57,107.57,0.11,107.57,0.10757,2829.091
2020-07-16,107.2,107.2,107.2,107.2,-0.34,107.2,0.1072,2819.36
2020-07-17,107.22,107.22,107.22,107.22,0.02,107.22,0.10722,2819.886
2020-07-20,107.18,107.18,107.18,107.18,-0.04,107.18,0.10718000000000001,2818.8340000000003
2020-07-21,107.58,107.58,107.58,107.58,0.37,107.58,0.10758,2829.354
2020-07-22,108.04,108.04,108.04,108.04,0.43,108.04,0.10804000000000001,2841.452
2020-07-23,107.78,107.78,107.78,107.78,-0.24,107.78,0.10778,2834.614
2020-07-24,107.69,107.69,107.69,107.69,-0.08,107.69,0.10769,2832.247
2020-07-27,107.46,107.46,107.46,107.46,-0.21,107.46,0.10746,2826.198
2020-07-28,107.72,107.72,107.72,107.72,0.24,107.72,0.10772,2833.036
2020-07-29,107.88,107.88,107.88,107.88,0.15,107.88,0.10787999999999999,2837.2439999999997
2020-07-30,108.05,108.05,108.05,108.05,0.16,108.05,0.10805,2841.7149999999997
2020-07-31,108.9,108.9,108.9,108.9,0.79,108.9,0.10890000000000001,2864.07
2020-08-03,114.21,114.21,114.21,114.21,4.88,114.21,0.11420999999999999,3003.723
2020-08-04,115.55,115.55,115.55,115.55,1.17,115.55,0.11555,3038.965
2020-08-05,116.27,116.27,116.27,116.27,0.62,116.27,0.11627,3057.901
2020-08-06,118.89,118.89,118.89,118.89,2.25,118.89,0.11889,3126.807
2020-08-07,118.07,118.07,118.07,118.07,-0.69,118.07,0.11807,3105.241
2020-08-10,118.34,118.34,118.34,118.34,0.23,118.34,0.11834,3112.342
2020-08-11,119.28,119.28,119.28,119.28,0.79,119.28,0.11928,3137.064
2020-08-12,120.19,120.19,120.19,120.19,0.76,120.19,0.12018999999999999,3160.997
2020-08-13,119.86,119.86,119.86,119.86,-0.27,119.86,0.11986,3152.3179999999998
2020-08-14,120.14,120.14,120.14,120.14,0.23,120.14,0.12014,3159.682
2020-08-17,120.46,120.46,120.46,120.46,0.27,120.46,0.12046,3168.098
2020-08-18,122.75,122.75,122.75,122.75,1.9,122.75,0.12275,3228.325
2020-08-19,122.47,122.47,122.47,122.47,-0.23,122.47,0.12247,3220.961
2020-08-20,123.74,123.74,123.74,123.74,1.04,123.74,0.12373999999999999,3254.3619999999996
2020-08-21,122.79,122.79,122.79,122.79,-0.77,122.79,0.12279000000000001,3229.3770000000004
2020-08-24,122.57,122.57,122.57,122.57,-0.18,122.57,0.12257,3223.591
2020-08-25,122.34,122.34,122.34,122.34,-0.19,122.34,0.12234,3217.542
2020-08-26,122.46,122.46,122.46,122.46,0.1,122.46,0.12246,3220.698
